assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,opp_two_point_field_goal_percentage,pace,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,wins,did_win
9,2.8,0.026,0.026,-0.021,-0.023,-0.023,13.1,9.6,-3.6,-0.3,-0.048,-0.05,-0.055,-0.031,-7.5,0.052,-0.038,-8.7,-0.042,0.2,-0.047,1.1,1.7,12.36,0,0.004,8.7,0.017,-3.5,0.035,0.384,18,1
-9,-2.8,-0.026,-0.026,0.021,0.023,0.023,-13.1,-9.6,3.6,0.3,0.048,0.05,0.055,0.031,7.5,-0.052,0.038,8.7,0.042,-0.2,0.047,-1.1,-1.7,-12.36,0,-0.004,-8.7,-0.017,3.5,-0.035,-0.384,-18,0
12.2,6.6,0.118,0.113,-0.069,0.06,-0.03,18.5,-0.8,3.2,-2.3,-0.061,-0.076,-0.129,-0.081,-8.6,0.125,-0.034,-6.8,-0.059,0.9,-0.069,-8.4,-0.6,17.47,-0.093,0.106,6.8,0.104,-1.2,0.099,0.547,19,1
-12.2,-6.6,-0.118,-0.113,0.069,-0.06,0.03,-18.5,0.8,-3.2,2.3,0.061,0.076,0.129,0.081,8.6,-0.125,0.034,6.8,0.059,-0.9,0.069,8.4,0.6,-17.47,0.093,-0.106,-6.8,-0.104,1.2,-0.099,-0.547,-19,0
3.6,-2.2,0.055,0.049,-0.052,0.038,-0.023,1.6,-10.9,2.5,-1,0.022,0.024,0.007,-0.008,3.5,0.033,-0.046,5.4,0.014,-0.5,0.069,8.4,-1.9,-0.45,-0.011,0.038,-5.4,0.05,0.9,0.054,-0.016,-2,1
-3.6,2.2,-0.055,-0.049,0.052,-0.038,0.023,-1.6,10.9,-2.5,1,-0.022,-0.024,-0.007,0.008,-3.5,-0.033,0.046,-5.4,-0.014,0.5,-0.069,-8.4,1.9,0.45,0.011,-0.038,5.4,-0.05,-0.9,-0.054,0.016,2,0
-5.3,-3.5,0.041,0.037,0.034,0.125,0.073,13,-0.8,-1.9,-0.8,0.041,0.05,-0.178,-0.125,-4.1,-0.043,-0.008,-2.8,0.017,-5.1,0.077,-2.4,-3.4,9.57,-0.015,0.039,2.8,0.057,-3.3,0.033,0.151,7,1
5.3,3.5,-0.041,-0.037,-0.034,-0.125,-0.073,-13,0.8,1.9,0.8,-0.041,-0.05,0.178,0.125,4.1,0.043,0.008,2.8,-0.017,5.1,-0.077,2.4,3.4,-9.57,0.015,-0.039,-2.8,-0.057,3.3,-0.033,-0.151,-7,0
-4.8,4.6,0.032,0.031,0.007,0.046,0.021,13.9,12.2,2,-3,-0.029,-0.023,-0.013,-0.025,2.2,-0.039,0,-6.5,-0.033,-5.7,-0.053,6.4,-3.5,11.98,-0.035,0.034,6.5,0.035,-0.8,0.02,0.09,4,1
4.8,-4.6,-0.032,-0.031,-0.007,-0.046,-0.021,-13.9,-12.2,-2,3,0.029,0.023,0.013,0.025,-2.2,0.039,0,6.5,0.033,5.7,0.053,-6.4,3.5,-11.98,0.035,-0.034,-6.5,-0.035,0.8,-0.02,-0.09,-4,0
-0.4,4.4,-0.019,0.001,0.046,0.048,0.051,2,2.5,-1,-1,-0.028,-0.032,-0.002,0.004,3.8,0.036,-0.02,0.2,-0.021,1.2,-0.03,-0.6,-0.1,11.78,-0.113,-0.012,-0.2,-0.004,-1.6,-0.015,0.2,7,1
0.4,-4.4,0.019,-0.001,-0.046,-0.048,-0.051,-2,-2.5,1,1,0.028,0.032,0.002,-0.004,-3.8,-0.036,0.02,-0.2,0.021,-1.2,0.03,0.6,0.1,-11.78,0.113,0.012,0.2,0.004,1.6,0.015,-0.2,-7,0
-5.1,3,-0.037,-0.039,0.042,0.009,0.036,-5.1,-1.6,0.5,-0.1,0.003,-0.002,-0.014,-0.025,2.2,0.009,0.02,2.1,-0.005,-0.5,-0.01,-1.9,-0.1,12.41,-0.04,0.034,-2.1,-0.027,0,-0.128,-0.224,-4,1
5.1,-3,0.037,0.039,-0.042,-0.009,-0.036,5.1,1.6,-0.5,0.1,-0.003,0.002,0.014,0.025,-2.2,-0.009,-0.02,-2.1,0.005,0.5,0.01,1.9,0.1,-12.41,0.04,-0.034,2.1,0.027,0,0.128,0.224,4,0
3.5,0.8,-0.018,-0.021,-0.073,-0.047,-0.071,-4.5,1.6,9.6,1.1,0.003,-0.016,-0.037,-0.036,-4.1,0.105,-0.004,-1.9,-0.004,3.1,-0.004,-5.2,0.6,12.72,0.042,-0.029,1.9,-0.029,0.3,-0.009,0.085,3,1
-3.5,-0.8,0.018,0.021,0.073,0.047,0.071,4.5,-1.6,-9.6,-1.1,-0.003,0.016,0.037,0.036,4.1,-0.105,0.004,1.9,0.004,-3.1,0.004,5.2,-0.6,-12.72,-0.042,0.029,-1.9,0.029,-0.3,0.009,-0.085,-3,0
-19.8,3.8,-0.066,-0.051,-0.015,-0.045,-0.024,-12.7,-1.2,11.5,0.2,-0.025,-0.029,0.068,0.031,-0.1,0.022,0.007,1.3,-0.023,1.3,-0.042,-2.6,0.8,1.97,-0.017,-0.062,-1.3,-0.065,0.4,-0.048,-0.239,-9,1
19.8,-3.8,0.066,0.051,0.015,0.045,0.024,12.7,1.2,-11.5,-0.2,0.025,0.029,-0.068,-0.031,0.1,-0.022,-0.007,-1.3,0.023,-1.3,0.042,2.6,-0.8,-1.97,0.017,0.062,1.3,0.065,-0.4,0.048,0.239,9,0
12.8,0.3,0.055,0.041,0.045,0.037,0.046,8.6,-8.3,11.9,2.3,0.016,0.008,-0.05,-0.021,1,0.054,-0.008,4.1,0.015,1.5,0.028,2,2.6,-3.2,0.009,0.068,-4.1,0.056,-2.3,0.028,0.191,5,1
-12.8,-0.3,-0.055,-0.041,-0.045,-0.037,-0.046,-8.6,8.3,-11.9,-2.3,-0.016,-0.008,0.05,0.021,-1,-0.054,0.008,-4.1,-0.015,-1.5,-0.028,-2,-2.6,3.2,-0.009,-0.068,4.1,-0.056,2.3,-0.028,-0.191,-5,0
6.1,-3.7,0.058,0.035,0.057,0.08,0.07,9,-1.9,-3.8,-0.9,0.02,0.021,-0.059,-0.022,0.8,-0.039,0.031,0.7,0.022,2.6,0.006,3,1.1,4.36,0.07,0.059,-0.7,0.067,0.9,0.039,0.106,2,1
-6.1,3.7,-0.058,-0.035,-0.057,-0.08,-0.07,-9,1.9,3.8,0.9,-0.02,-0.021,0.059,0.022,-0.8,0.039,-0.031,-0.7,-0.022,-2.6,-0.006,-3,-1.1,-4.36,-0.07,-0.059,0.7,-0.067,-0.9,-0.039,-0.106,-2,0
-3.7,0.6,0.033,0.03,0.076,-0.043,0.042,2.4,0.6,1.8,-4.1,-0.011,-0.004,0.114,0.073,0.3,-0.009,-0.03,-0.4,-0.004,2.1,0.009,4.5,0.4,-2.97,-0.013,0.026,0.4,0.029,1.8,0.029,0.288,11,1
3.7,-0.6,-0.033,-0.03,-0.076,0.043,-0.042,-2.4,-0.6,-1.8,4.1,0.011,0.004,-0.114,-0.073,-0.3,0.009,0.03,0.4,0.004,-2.1,-0.009,-4.5,-0.4,2.97,0.013,-0.026,-0.4,-0.029,-1.8,-0.029,-0.288,-11,0
8.7,2.6,0.014,0.011,-0.066,-0.027,-0.054,2.6,-3.2,3.4,-7,-0.037,-0.031,0.013,-0.002,1.2,-0.022,-0.02,2,-0.037,1.3,-0.042,3.5,0.7,-0.4,0.035,-0.017,-2,0.002,-2.6,0.039,0.257,9,1
-8.7,-2.6,-0.014,-0.011,0.066,0.027,0.054,-2.6,3.2,-3.4,7,0.037,0.031,-0.013,0.002,-1.2,0.022,0.02,-2,0.037,-1.3,0.042,-3.5,-0.7,0.4,-0.035,0.017,2,-0.002,2.6,-0.039,-0.257,-9,0
0.9,7.3,-0.02,-0.021,-0.083,0.08,-0.029,-4.1,-2.5,1.9,1.9,0.014,0.01,0.011,0.012,3.7,-0.01,0.037,3.3,0.015,-0.7,-0.006,0.3,-1.2,13.12,-0.001,0.008,-3.3,-0.012,0.3,-0.036,-0.255,-7,1
-0.9,-7.3,0.02,0.021,0.083,-0.08,0.029,4.1,2.5,-1.9,-1.9,-0.014,-0.01,-0.011,-0.012,-3.7,0.01,-0.037,-3.3,-0.015,0.7,0.006,-0.3,1.2,-13.12,0.001,-0.008,3.3,0.012,-0.3,0.036,0.255,7,0
2.9,-2.4,0.079,0.057,0.033,-0.007,0.022,11.1,-5.6,-3,1.8,-0.004,0.005,-0.049,-0.022,3.5,-0.049,0,3,-0.002,-3.2,-0.002,3,-3.1,14.66,0.09,0.026,-3,0.068,-1.4,0.089,0.183,7,1
-2.9,2.4,-0.079,-0.057,-0.033,0.007,-0.022,-11.1,5.6,3,-1.8,0.004,-0.005,0.049,0.022,-3.5,0.049,0,-3,0.002,3.2,0.002,-3,3.1,-14.66,-0.09,-0.026,3,-0.068,1.4,-0.089,-0.183,-7,0
5.7,0.8,-0.025,-0.001,-0.025,0.017,-0.012,-12,-0.2,-5.6,2,0.004,-0.002,0.048,0.023,-2,0.021,0.013,-1.4,0.002,4.1,-0.007,2.9,2.8,-5.62,-0.098,-0.032,1.4,-0.02,5.8,-0.005,-0.063,-2,1
-5.7,-0.8,0.025,0.001,0.025,-0.017,0.012,12,0.2,5.6,-2,-0.004,0.002,-0.048,-0.023,2,-0.021,-0.013,1.4,-0.002,-4.1,0.007,-2.9,-2.8,5.62,0.098,0.032,-1.4,0.02,-5.8,0.005,0.063,2,0
-2.2,1.3,-0.055,-0.045,-0.032,-0.037,-0.034,-9.6,-6.1,1.8,2.2,-0.009,-0.003,0.072,0.04,0.6,-0.048,0.017,4.5,-0.005,0.5,-0.019,-2.6,1,6.75,-0.021,-0.03,-4.5,-0.056,-1.7,-0.06,-0.263,-10,1
2.2,-1.3,0.055,0.045,0.032,0.037,0.034,9.6,6.1,-1.8,-2.2,0.009,0.003,-0.072,-0.04,-0.6,0.048,-0.017,-4.5,0.005,-0.5,0.019,2.6,-1,-6.75,0.021,0.03,4.5,0.056,1.7,0.06,0.263,10,0
-6,6,0.003,0.029,0.074,-0.079,0.027,3.2,6.7,-3.5,-0.7,-0.021,-0.02,0.039,0.035,-2.5,0.006,-0.012,-4.5,-0.012,1.5,-0.023,0.3,0.9,11.34,-0.087,-0.05,4.5,-0.003,-0.5,0.051,0.114,4,1
6,-6,-0.003,-0.029,-0.074,0.079,-0.027,-3.2,-6.7,3.5,0.7,0.021,0.02,-0.039,-0.035,2.5,-0.006,0.012,4.5,0.012,-1.5,0.023,-0.3,-0.9,-11.34,0.087,0.05,-4.5,0.003,0.5,-0.051,-0.114,-4,0
8.3,-1.4,0,0.001,0.126,-0.01,0.088,4.7,13,3.4,2.2,-0.033,-0.026,0.124,0.079,-5.4,0.003,-0.045,-8.4,-0.023,5.3,-0.015,-1.7,1.5,0.41,0.003,-0.008,8.4,0.011,2.2,0.008,0.345,12,1
-8.3,1.4,0,-0.001,-0.126,0.01,-0.088,-4.7,-13,-3.4,-2.2,0.033,0.026,-0.124,-0.079,5.4,-0.003,0.045,8.4,0.023,-5.3,0.015,1.7,-1.5,-0.41,-0.003,0.008,-8.4,-0.011,-2.2,-0.008,-0.345,-12,0
-2.3,0.4,0.003,-0.012,-0.028,-0.034,-0.034,3.4,2.2,-3.7,1.4,-0.003,-0.006,-0.061,-0.042,1.5,0.004,0.014,0.3,-0.008,1,-0.014,-2.1,0.3,-1.02,0.074,0.01,-0.3,-0.005,-1.4,-0.006,0.289,10,1
2.3,-0.4,-0.003,0.012,0.028,0.034,0.034,-3.4,-2.2,3.7,-1.4,0.003,0.006,0.061,0.042,-1.5,-0.004,-0.014,-0.3,0.008,-1,0.014,2.1,-0.3,1.02,-0.074,-0.01,0.3,0.005,1.4,0.006,-0.289,-10,0
3.5,-0.2,0.027,0.024,-0.036,-0.003,-0.026,-0.9,-1.8,1.3,0.6,0.01,0.016,-0.014,0.009,-9.3,-0.032,0.001,-3.8,0.016,-1.8,0.015,2.9,-0.3,15.69,-0.016,0.032,3.8,0.021,2.5,0.017,-0.131,-5,1
-3.5,0.2,-0.027,-0.024,0.036,0.003,0.026,0.9,1.8,-1.3,-0.6,-0.01,-0.016,0.014,-0.009,9.3,0.032,-0.001,3.8,-0.016,1.8,-0.015,-2.9,0.3,-15.69,0.016,-0.032,-3.8,-0.021,-2.5,-0.017,0.131,5,0
11.5,-5,0.039,0.015,0.013,0.073,0.038,9.4,4.2,-1.4,-0.7,0.002,0.01,-0.021,-0.027,-4.8,-0.032,-0.009,-4.7,-0.004,-0.4,0.014,0,-2.5,-0.32,0.056,0.073,4.7,0.046,0.1,-0.006,0.281,9,1
-11.5,5,-0.039,-0.015,-0.013,-0.073,-0.038,-9.4,-4.2,1.4,0.7,-0.002,-0.01,0.021,0.027,4.8,0.032,0.009,4.7,0.004,0.4,-0.014,0,2.5,0.32,-0.056,-0.073,-4.7,-0.046,-0.1,0.006,-0.281,-9,0
4.2,-0.8,-0.031,-0.016,0.025,-0.058,-0.004,-5.4,3.8,-6.1,-1.8,-0.016,-0.006,0.084,0.065,0.2,-0.031,-0.031,-0.6,-0.004,4.1,0.002,-4.3,1.8,12.78,-0.048,-0.035,0.6,-0.033,1,-0.014,-0.091,-1,1
-4.2,0.8,0.031,0.016,-0.025,0.058,0.004,5.4,-3.8,6.1,1.8,0.016,0.006,-0.084,-0.065,-0.2,0.031,0.031,0.6,0.004,-4.1,-0.002,4.3,-1.8,-12.78,0.048,0.035,-0.6,0.033,-1,0.014,0.091,1,0
3.5,2.2,0.031,0.047,-0.064,-0.036,-0.059,2.3,-1.1,0.7,-2.8,-0.038,-0.03,-0.008,-0.004,-5.3,-0.009,-0.037,-3,-0.032,1.9,-0.027,-4.7,1.8,3.93,-0.095,0.007,3,0.016,-0.8,0.047,0.376,15,1
-3.5,-2.2,-0.031,-0.047,0.064,0.036,0.059,-2.3,1.1,-0.7,2.8,0.038,0.03,0.008,0.004,5.3,0.009,0.037,3,0.032,-1.9,0.027,4.7,-1.8,-3.93,0.095,-0.007,-3,-0.016,0.8,-0.047,-0.376,-15,0
10.6,1.7,-0.002,0.007,0.007,-0.054,-0.017,-2.4,1.1,3.2,-0.9,-0.039,-0.032,0,-0.002,1.9,-0.048,0.013,-0.5,-0.035,2.1,-0.068,-8.7,0.8,11.59,-0.025,-0.026,0.5,-0.011,0.9,0.023,0.037,3,1
-10.6,-1.7,0.002,-0.007,-0.007,0.054,0.017,2.4,-1.1,-3.2,0.9,0.039,0.032,0,0.002,-1.9,0.048,-0.013,0.5,0.035,-2.1,0.068,8.7,-0.8,-11.59,0.025,0.026,-0.5,0.011,-0.9,-0.023,-0.037,-3,0
1.1,-2,-0.001,-0.014,-0.01,-0.051,-0.024,-7.9,-5.8,3.2,1.2,0.015,0.013,0.041,0.019,3.6,-0.017,0.023,4.8,0.012,1.9,0.006,-1.8,2.9,-1.19,0.1,-0.028,-4.8,-0.009,2.7,0.01,-0.022,-1,1
-1.1,2,0.001,0.014,0.01,0.051,0.024,7.9,5.8,-3.2,-1.2,-0.015,-0.013,-0.041,-0.019,-3.6,0.017,-0.023,-4.8,-0.012,-1.9,-0.006,1.8,-2.9,1.19,-0.1,0.028,4.8,0.009,-2.7,-0.01,0.022,1,0
5.4,1.7,0.053,0.046,-0.006,0.087,0.027,13.4,3.2,-2.1,-2.6,0.012,0.001,0.017,0.001,-5.1,0.051,0.014,-4.3,0.007,2.2,0.004,-5.7,-1.3,11.18,-0.008,0.047,4.3,0.058,-2.1,0.044,0.296,10,1
-5.4,-1.7,-0.053,-0.046,0.006,-0.087,-0.027,-13.4,-3.2,2.1,2.6,-0.012,-0.001,-0.017,-0.001,5.1,-0.051,-0.014,4.3,-0.007,-2.2,-0.004,5.7,1.3,-11.18,0.008,-0.047,-4.3,-0.058,2.1,-0.044,-0.296,-10,0
-11.1,-1.2,-0.016,-0.018,-0.002,0.039,0.012,-3,-1.5,4,2.6,-0.013,-0.031,-0.105,-0.094,6.3,0.087,0.009,2.1,-0.028,-2.7,-0.034,-4.3,-1.6,0.58,-0.008,0.025,-2.1,-0.008,1.3,-0.04,-0.134,-3,1
11.1,1.2,0.016,0.018,0.002,-0.039,-0.012,3,1.5,-4,-2.6,0.013,0.031,0.105,0.094,-6.3,-0.087,-0.009,-2.1,0.028,2.7,0.034,4.3,1.6,-0.58,0.008,-0.025,2.1,0.008,-1.3,0.04,0.134,3,0
5.6,-0.4,-0.004,-0.028,-0.034,0.034,-0.011,-1.3,-3,8.4,0.6,-0.001,-0.002,-0.086,-0.061,-3.2,-0.004,0.015,0.1,-0.008,-0.8,-0.011,-3.7,0,4.34,0.097,0.044,-0.1,-0.001,-0.1,-0.046,0.071,3,1
-5.6,0.4,0.004,0.028,0.034,-0.034,0.011,1.3,3,-8.4,-0.6,0.001,0.002,0.086,0.061,3.2,0.004,-0.015,-0.1,0.008,0.8,0.011,3.7,0,-4.34,-0.097,-0.044,0.1,0.001,0.1,0.046,-0.071,-3,0
-8,3,0.045,0.052,0.012,-0.011,0.005,10.5,7.9,-7,-3,0.025,0.032,0.037,0.035,6.1,-0.051,0.013,-1.2,0.029,-0.4,0.035,5.6,1.4,11.47,-0.07,0.031,1.2,0.039,0.2,0.045,0.033,1,1
8,-3,-0.045,-0.052,-0.012,0.011,-0.005,-10.5,-7.9,7,3,-0.025,-0.032,-0.037,-0.035,-6.1,0.051,-0.013,1.2,-0.029,0.4,-0.035,-5.6,-1.4,-11.47,0.07,-0.031,-1.2,-0.039,-0.2,-0.045,-0.033,-1,0
-5.7,2.2,0.058,0.062,0.077,-0.029,0.042,11.4,2.5,-4.7,0.6,0,-0.02,0.055,0.049,-5.5,0.066,0.054,-4.8,0.01,-0.7,-0.044,-1.5,1.8,9.92,-0.039,0.017,4.8,0.051,-1,0.071,0.139,6,1
5.7,-2.2,-0.058,-0.062,-0.077,0.029,-0.042,-11.4,-2.5,4.7,-0.6,0,0.02,-0.055,-0.049,5.5,-0.066,-0.054,4.8,-0.01,0.7,0.044,1.5,-1.8,-9.92,0.039,-0.017,-4.8,-0.051,1,-0.071,-0.139,-6,0
-2.6,4,-0.015,0.025,0.022,-0.037,0.003,4.3,15.5,-4.8,-0.4,-0.029,-0.012,-0.001,-0.011,3.7,-0.107,0.003,-6.2,-0.029,-1.2,-0.046,4.7,0.6,9.93,-0.203,-0.028,6.2,-0.017,0.4,0.003,0.143,5,1
2.6,-4,0.015,-0.025,-0.022,0.037,-0.003,-4.3,-15.5,4.8,0.4,0.029,0.012,0.001,0.011,-3.7,0.107,-0.003,6.2,0.029,1.2,0.046,-4.7,-0.6,-9.93,0.203,0.028,-6.2,0.017,-0.4,-0.003,-0.143,-5,0
3.2,-0.6,-0.075,-0.041,-0.122,-0.1,-0.121,-14.9,3.6,13.3,2,0.065,0.034,0.002,-0.007,-1.1,0.104,0.064,0.2,0.053,-1,0.039,0.7,-0.1,7,-0.135,-0.048,-0.2,-0.089,1.3,-0.061,-0.298,-11,1
-3.2,0.6,0.075,0.041,0.122,0.1,0.121,14.9,-3.6,-13.3,-2,-0.065,-0.034,-0.002,0.007,1.1,-0.104,-0.064,-0.2,-0.053,1,-0.039,-0.7,0.1,-7,0.135,0.048,0.2,0.089,-1.3,0.061,0.298,11,0
1.1,4.4,0.061,0.039,-0.04,-0.012,-0.033,11.8,-3.7,-19.4,-0.9,-0.053,-0.045,-0.199,-0.138,-2.1,0.027,-0.079,-0.5,-0.06,-0.8,-0.022,-0.3,-0.7,-3.51,0.078,0.044,0.5,0.047,-4,0.054,0.475,16,1
-1.1,-4.4,-0.061,-0.039,0.04,0.012,0.033,-11.8,3.7,19.4,0.9,0.053,0.045,0.199,0.138,2.1,-0.027,0.079,0.5,0.06,0.8,0.022,0.3,0.7,3.51,-0.078,-0.044,-0.5,-0.047,4,-0.054,-0.475,-16,0
