assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,opp_two_point_field_goal_percentage,pace,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,wins,did_win
20.2,-7.9,0.023,0.01,-0.016,0.11,0.026,7.8,0.3,-8,1.1,-0.008,0.01,-0.169,-0.121,-4.4,-0.12,0.008,-3.3,-0.024,-3.1,-0.019,-0.3,-2.8,10.96,0.018,0.046,3.3,0.034,-1.3,-0.006,0.165,7,1
-20.2,7.9,-0.023,-0.01,0.016,-0.11,-0.026,-7.8,-0.3,8,-1.1,0.008,-0.01,0.169,0.121,4.4,0.12,-0.008,3.3,0.024,3.1,0.019,0.3,2.8,-10.96,-0.018,-0.046,-3.3,-0.034,1.3,0.006,-0.165,-7,0
13.1,1.9,0.027,0.021,-0.022,-0.018,-0.023,3.3,1.9,15,-3.8,0.034,0.023,-0.066,-0.062,4.5,0.048,0.009,0.9,0.016,-0.3,0.045,-6.3,2.6,11.09,0.024,0.006,-0.9,0.019,1,0.037,-0.235,-8,1
-13.1,-1.9,-0.027,-0.021,0.022,0.018,0.023,-3.3,-1.9,-15,3.8,-0.034,-0.023,0.066,0.062,-4.5,-0.048,-0.009,-0.9,-0.016,0.3,-0.045,6.3,-2.6,-11.09,-0.024,-0.006,0.9,-0.019,-1,-0.037,0.235,8,0
-1.1,0.6,0.055,0.043,-0.003,-0.074,-0.023,11.4,4.9,-3,-0.2,-0.026,-0.023,0.013,0.008,0,0,-0.022,-2.4,-0.023,4.1,-0.022,3.5,2.4,2.08,0.028,0.033,2.4,0.039,-1.3,0.057,0.295,12,1
1.1,-0.6,-0.055,-0.043,0.003,0.074,0.023,-11.4,-4.9,3,0.2,0.026,0.023,-0.013,-0.008,0,0,0.022,2.4,0.023,-4.1,0.022,-3.5,-2.4,-2.08,-0.028,-0.033,-2.4,-0.039,1.3,-0.057,-0.295,-12,0
-4.6,-1.4,0.05,0.029,-0.024,0.032,-0.007,10.3,-4.9,13.2,1.5,0.017,0.008,-0.108,-0.074,-0.3,0.064,-0.017,2.2,0.008,-1.2,0.04,1.4,-0.5,2.86,0.07,0.042,-2.2,0.045,-3.6,0.035,0.261,9,1
4.6,1.4,-0.05,-0.029,0.024,-0.032,0.007,-10.3,4.9,-13.2,-1.5,-0.017,-0.008,0.108,0.074,0.3,-0.064,0.017,-2.2,-0.008,1.2,-0.04,-1.4,0.5,-2.86,-0.07,-0.042,2.2,-0.045,3.6,-0.035,-0.261,-9,0
-12.2,-0.8,0.006,0.013,0.042,0.028,0.039,-0.4,-7.3,5.9,-4.5,0.068,0.051,-0.004,0.004,9.5,0.045,0.045,8.2,0.061,0.8,0.068,1,-0.3,0.52,-0.049,0.006,-8.2,0.012,-1,0.004,-0.319,-13,1
12.2,0.8,-0.006,-0.013,-0.042,-0.028,-0.039,0.4,7.3,-5.9,4.5,-0.068,-0.051,0.004,-0.004,-9.5,-0.045,-0.045,-8.2,-0.061,-0.8,-0.068,-1,0.3,-0.52,0.049,-0.006,8.2,-0.012,1,-0.004,0.319,13,0
-8.7,2.8,-0.057,-0.037,0.045,-0.065,0.007,-6.4,5.8,-3.5,-1.2,-0.025,-0.017,0.047,0.015,-1.6,-0.018,-0.023,-2.6,-0.024,2.2,-0.017,-5.3,0.5,11.04,-0.046,-0.062,2.6,-0.056,-0.2,-0.033,-0.059,-2,1
8.7,-2.8,0.057,0.037,-0.045,0.065,-0.007,6.4,-5.8,3.5,1.2,0.025,0.017,-0.047,-0.015,1.6,0.018,0.023,2.6,0.024,-2.2,0.017,5.3,-0.5,-11.04,0.046,0.062,-2.6,0.056,0.2,0.033,0.059,2,0
2.2,3.7,0.002,0.024,0.048,0,0.034,6.4,7.8,-8.6,-0.1,-0.043,-0.028,0.092,0.069,0.5,-0.064,-0.023,-3.2,-0.027,3.3,-0.044,1.6,3,9.56,-0.096,-0.031,3.2,0.006,-1.1,0.03,0.368,14,1
-2.2,-3.7,-0.002,-0.024,-0.048,0,-0.034,-6.4,-7.8,8.6,0.1,0.043,0.028,-0.092,-0.069,-0.5,0.064,0.023,3.2,0.027,-3.3,0.044,-1.6,-3,-9.56,0.096,0.031,-3.2,-0.006,1.1,-0.03,-0.368,-14,0
12.6,-5.1,0.042,0.028,-0.062,0.06,-0.024,9.6,1.2,-11.9,-4,0.046,0.049,0.005,0.012,2,-0.005,-0.016,1.1,0.043,2.9,0.081,0.4,2.5,-4.19,0.034,0.037,-1.1,0.039,-1.6,0.031,0.216,8,1
-12.6,5.1,-0.042,-0.028,0.062,-0.06,0.024,-9.6,-1.2,11.9,4,-0.046,-0.049,-0.005,-0.012,-2,0.005,0.016,-1.1,-0.043,-2.9,-0.081,-0.4,-2.5,4.19,-0.034,-0.037,1.1,-0.039,1.6,-0.031,-0.216,-8,0
4.3,1.3,0.013,0.003,-0.03,-0.075,-0.052,-3.9,7,12.6,-0.7,-0.051,-0.054,-0.092,-0.051,-3.3,0.018,0.005,-6.5,-0.048,-3.5,-0.088,0.6,-2.4,3.88,0.034,0.024,6.5,-0.004,4.9,-0.001,-0.047,-1,1
-4.3,-1.3,-0.013,-0.003,0.03,0.075,0.052,3.9,-7,-12.6,0.7,0.051,0.054,0.092,0.051,3.3,-0.018,-0.005,6.5,0.048,3.5,0.088,-0.6,2.4,-3.88,-0.034,-0.024,-6.5,0.004,-4.9,0.001,0.047,1,0
8,0.7,-0.006,-0.025,0.009,0.098,0.04,4.9,8.3,6.3,1.4,0.06,0.058,0.101,0.074,2.3,-0.025,0.04,-1,0.059,5.1,0.06,7.7,4.7,2.52,0.11,0.002,1,0.009,1.2,-0.016,0.02,1,1
-8,-0.7,0.006,0.025,-0.009,-0.098,-0.04,-4.9,-8.3,-6.3,-1.4,-0.06,-0.058,-0.101,-0.074,-2.3,0.025,-0.04,1,-0.059,-5.1,-0.06,-7.7,-4.7,-2.52,-0.11,-0.002,-1,-0.009,-1.2,0.016,-0.02,-1,0
13.6,1.7,0.072,0.063,0.039,-0.003,0.026,12.8,8.6,-2.3,-1.6,0.001,-0.014,-0.105,-0.065,-0.2,0.078,0,-6.2,-0.004,-2.8,-0.001,1,-1,-2.81,0.007,0.044,6.2,0.066,1.9,0.075,0.339,13,1
-13.6,-1.7,-0.072,-0.063,-0.039,0.003,-0.026,-12.8,-8.6,2.3,1.6,-0.001,0.014,0.105,0.065,0.2,-0.078,0,6.2,0.004,2.8,0.001,-1,1,2.81,-0.007,-0.044,-6.2,-0.066,-1.9,-0.075,-0.339,-13,0
3.4,2.6,0.119,0.122,-0.069,0.032,-0.034,17.9,2.5,-6.2,-1.3,-0.065,-0.053,-0.098,-0.074,-9,-0.059,-0.008,-8.6,-0.065,-1.3,-0.093,-0.4,0.6,12.33,-0.056,0.035,8.6,0.102,0,0.156,0.375,12,1
-3.4,-2.6,-0.119,-0.122,0.069,-0.032,0.034,-17.9,-2.5,6.2,1.3,0.065,0.053,0.098,0.074,9,0.059,0.008,8.6,0.065,1.3,0.093,0.4,-0.6,-12.33,0.056,-0.035,-8.6,-0.102,0,-0.156,-0.375,-12,0
9.4,2.3,0.064,0.044,-0.072,0.07,-0.026,8,-3.1,0.5,-1.8,0.001,0.004,-0.092,-0.06,-3.3,-0.058,0.037,-1.5,-0.005,-1.7,-0.025,-1,-1.5,-2.47,0.07,0.037,1.5,0.058,0.8,0.069,0.281,9,1
-9.4,-2.3,-0.064,-0.044,0.072,-0.07,0.026,-8,3.1,-0.5,1.8,-0.001,-0.004,0.092,0.06,3.3,0.058,-0.037,1.5,0.005,1.7,0.025,1,1.5,2.47,-0.07,-0.037,-1.5,-0.058,-0.8,-0.069,-0.281,-9,0
3.4,-2.1,-0.013,-0.012,-0.054,-0.005,-0.038,1,1.9,10.2,0.1,0.017,0.014,0.005,-0.022,-4.2,-0.002,0.016,-3,0.004,-5,0.012,-5.5,-2.3,0.68,-0.006,-0.003,3,-0.017,-2.2,-0.018,0.05,2,1
-3.4,2.1,0.013,0.012,0.054,0.005,0.038,-1,-1.9,-10.2,-0.1,-0.017,-0.014,-0.005,0.022,4.2,0.002,-0.016,3,-0.004,5,-0.012,5.5,2.3,-0.68,0.006,0.003,-3,0.017,2.2,0.018,-0.05,-2,0
4.6,-0.4,0,0,-0.066,0.023,-0.036,1.3,1.1,-5.4,-2.7,-0.075,-0.066,-0.179,-0.113,-4.9,-0.004,-0.046,-4.1,-0.07,-0.8,-0.078,-5.4,-0.6,10.87,0,-0.003,4.1,-0.002,-1.3,0.002,0.313,12,1
-4.6,0.4,0,0,0.066,-0.023,0.036,-1.3,-1.1,5.4,2.7,0.075,0.066,0.179,0.113,4.9,0.004,0.046,4.1,0.07,0.8,0.078,5.4,0.6,-10.87,0,0.003,-4.1,0.002,1.3,-0.002,-0.313,-12,0
9.4,2.3,-0.009,-0.024,-0.096,-0.039,-0.084,-6.9,-4.4,8.9,4.5,0.02,0.011,-0.003,0.007,-2.3,0.037,0.017,3,0.02,6,0.017,-3.4,5.6,6.67,0.09,0.002,-3,-0.024,0.7,-0.019,0.039,2,1
-9.4,-2.3,0.009,0.024,0.096,0.039,0.084,6.9,4.4,-8.9,-4.5,-0.02,-0.011,0.003,-0.007,2.3,-0.037,-0.017,-3,-0.02,-6,-0.017,3.4,-5.6,-6.67,-0.09,-0.002,3,0.024,-0.7,0.019,-0.039,-2,0
6.8,3.3,-0.024,-0.028,0.009,0.021,0.013,-2.3,6.3,8.6,2.5,-0.022,-0.02,-0.05,-0.025,0.5,-0.037,0.017,-2.6,-0.019,-1.1,-0.051,-4,-0.8,15.29,0.013,0.012,2.6,-0.017,1.8,-0.044,0.006,1,1
-6.8,-3.3,0.024,0.028,-0.009,-0.021,-0.013,2.3,-6.3,-8.6,-2.5,0.022,0.02,0.05,0.025,-0.5,0.037,-0.017,2.6,0.019,1.1,0.051,4,0.8,-15.29,-0.013,-0.012,-2.6,0.017,-1.8,0.044,-0.006,-1,0
8.5,4.8,-0.018,-0.027,0.099,-0.095,0.038,-3.6,-2.6,2.3,-0.7,-0.019,-0.023,0.042,0.019,2.9,0.032,-0.006,3.5,-0.017,4.6,-0.025,4.2,1.6,0.37,0.071,-0.014,-3.5,-0.021,-1,-0.015,0.212,7,1
-8.5,-4.8,0.018,0.027,-0.099,0.095,-0.038,3.6,2.6,-2.3,0.7,0.019,0.023,-0.042,-0.019,-2.9,-0.032,0.006,-3.5,0.017,-4.6,0.025,-4.2,-1.6,-0.37,-0.071,0.014,3.5,0.021,1,0.015,-0.212,-7,0
-4.9,3.4,-0.034,-0.03,-0.08,0.101,-0.014,2.3,2.4,7.6,-2.9,0.009,0.004,0.078,0.068,6.7,0.044,-0.011,2.9,0.019,1.1,0.024,-0.2,1.3,5.87,0.011,-0.036,-2.9,-0.017,-2.8,-0.026,-0.091,-3,1
4.9,-3.4,0.034,0.03,0.08,-0.101,0.014,-2.3,-2.4,-7.6,2.9,-0.009,-0.004,-0.078,-0.068,-6.7,-0.044,0.011,-2.9,-0.019,-1.1,-0.024,0.2,-1.3,-5.87,-0.011,0.036,2.9,0.017,2.8,0.026,0.091,3,0
4,-1.1,0.025,0.033,-0.015,-0.033,-0.021,9,6.2,-7.5,-2.1,0.006,0.008,0.04,0.026,-4.4,0.026,-0.032,-4.8,0.007,-0.4,0.034,1.4,-2,3,-0.055,0.007,4.8,0.016,-2.4,0.039,0,0,1
-4,1.1,-0.025,-0.033,0.015,0.033,0.021,-9,-6.2,7.5,2.1,-0.006,-0.008,-0.04,-0.026,4.4,-0.026,0.032,4.8,-0.007,0.4,-0.034,-1.4,2,-3,0.055,-0.007,-4.8,-0.016,2.4,-0.039,0,0,0
-3.1,2.4,-0.046,-0.027,0.035,0.045,0.042,-14.6,-0.3,8.1,2.3,-0.008,-0.009,0.249,0.173,1.1,-0.013,0.026,0.5,0.01,4.3,-0.031,2.8,3.2,-0.71,-0.064,-0.038,-0.5,-0.029,6.5,-0.034,-0.156,-5,1
3.1,-2.4,0.046,0.027,-0.035,-0.045,-0.042,14.6,0.3,-8.1,-2.3,0.008,0.009,-0.249,-0.173,-1.1,0.013,-0.026,-0.5,-0.01,-4.3,0.031,-2.8,-3.2,0.71,0.064,0.038,0.5,0.029,-6.5,0.034,0.156,5,0
9,-2.8,0.089,0.061,-0.115,0.026,-0.067,14.7,-3,-8,2.2,0.042,0.046,0.054,0.062,-5.2,-0.024,0.006,0,0.051,1.1,0.062,3.6,1.6,6.35,0.062,0.097,0,0.071,-3.2,0.054,0.144,4,1
-9,2.8,-0.089,-0.061,0.115,-0.026,0.067,-14.7,3,8,-2.2,-0.042,-0.046,-0.054,-0.062,5.2,0.024,-0.006,0,-0.051,-1.1,-0.062,-3.6,-1.6,-6.35,-0.062,-0.097,0,-0.071,3.2,-0.054,-0.144,-4,0
3.3,-3.8,-0.001,-0.01,0.066,-0.018,0.042,2.5,2.1,-2,1.9,-0.022,-0.03,0.02,0.025,-2.1,0.054,-0.01,-2,-0.012,-2,-0.031,1.8,-1.4,-2.09,0.029,0.021,2,0.002,-1,-0.023,0.107,4,1
-3.3,3.8,0.001,0.01,-0.066,0.018,-0.042,-2.5,-2.1,2,-1.9,0.022,0.03,-0.02,-0.025,2.1,-0.054,0.01,2,0.012,2,0.031,-1.8,1.4,2.09,-0.029,-0.021,-2,-0.002,1,0.023,-0.107,-4,0
3.8,0.7,0.073,0.069,0.008,0.009,0.009,11.5,-1.4,-8.3,-1.2,-0.048,-0.041,-0.201,-0.165,3.5,0.008,-0.043,-0.2,-0.07,-1.1,-0.039,2.9,-0.4,-0.57,-0.012,0.036,0.2,0.066,-0.5,0.086,0.297,11,1
-3.8,-0.7,-0.073,-0.069,-0.008,-0.009,-0.009,-11.5,1.4,8.3,1.2,0.048,0.041,0.201,0.165,-3.5,-0.008,0.043,0.2,0.07,1.1,0.039,-2.9,0.4,0.57,0.012,-0.036,-0.2,-0.066,0.5,-0.086,-0.297,-11,0
4.6,1.1,-0.001,0.007,-0.023,-0.028,-0.025,3.1,2.8,9.7,1,0.018,0.026,-0.032,-0.035,1.4,-0.027,-0.013,0,0.008,2.2,0.043,3,2.8,14.19,-0.021,-0.023,0,-0.006,-1.9,0.019,0.044,4,1
-4.6,-1.1,0.001,-0.007,0.023,0.028,0.025,-3.1,-2.8,-9.7,-1,-0.018,-0.026,0.032,0.035,-1.4,0.027,0.013,0,-0.008,-2.2,-0.043,-3,-2.8,-14.19,0.021,0.023,0,0.006,1.9,-0.019,-0.044,-4,0
-0.6,-2.2,0.013,-0.009,0.008,0.013,0.011,8.3,-1.4,-4.7,0.9,0.008,0.01,0.112,0.076,2.2,-0.041,0.029,2.9,0.015,0.3,-0.012,5.9,-1.1,-4.05,0.07,0.044,-2.9,0.013,-4.2,-0.027,0.197,6,1
0.6,2.2,-0.013,0.009,-0.008,-0.013,-0.011,-8.3,1.4,4.7,-0.9,-0.008,-0.01,-0.112,-0.076,-2.2,0.041,-0.029,-2.9,-0.015,-0.3,0.012,-5.9,1.1,4.05,-0.07,-0.044,2.9,-0.013,4.2,0.027,-0.197,-6,0
6.7,0.1,0.066,0.038,-0.111,0.108,-0.046,16.5,-5.9,-0.5,0.2,-0.026,-0.031,-0.084,-0.056,2.3,0.021,0.009,2.6,-0.028,-3,-0.047,0.5,-0.3,13.38,0.106,0.055,-2.6,0.062,-6.6,0.049,0.237,10,1
-6.7,-0.1,-0.066,-0.038,0.111,-0.108,0.046,-16.5,5.9,0.5,-0.2,0.026,0.031,0.084,0.056,-2.3,-0.021,-0.009,-2.6,0.028,3,0.047,-0.5,0.3,-13.38,-0.106,-0.055,2.6,-0.062,6.6,-0.049,-0.237,-10,0
-9.3,-3.7,0.023,0.01,-0.059,0.082,-0.017,-0.1,-12.6,-10,-0.2,0.059,0.079,0.026,0.016,3.1,-0.167,0.057,8.4,0.054,1,0.059,0.1,0,5.72,0.086,-0.021,-8.4,0.027,-1.5,0.052,-0.173,-4,1
9.3,3.7,-0.023,-0.01,0.059,-0.082,0.017,0.1,12.6,10,0.2,-0.059,-0.079,-0.026,-0.016,-3.1,0.167,-0.057,-8.4,-0.054,-1,-0.059,-0.1,0,-5.72,-0.086,0.021,8.4,-0.027,1.5,-0.052,0.173,4,0
-1.3,3.5,-0.017,-0.022,0.127,-0.007,0.093,1,8.1,4,2.1,-0.045,-0.042,0.042,0.028,1.1,0.02,-0.034,-3.7,-0.036,1.8,-0.044,2,1.6,6.75,0.054,-0.02,3.7,-0.003,1.7,-0.015,0.344,14,1
1.3,-3.5,0.017,0.022,-0.127,0.007,-0.093,-1,-8.1,-4,-2.1,0.045,0.042,-0.042,-0.028,-1.1,-0.02,0.034,3.7,0.036,-1.8,0.044,-2,-1.6,-6.75,-0.054,0.02,-3.7,0.003,-1.7,0.015,-0.344,-14,0
-0.7,4.6,-0.009,-0.006,-0.073,-0.025,-0.061,-4.7,-1,-1.7,-4.2,0.004,0.001,-0.033,-0.031,3.9,0.041,-0.021,2.4,-0.003,2.2,0.02,0.4,3.5,3.18,-0.018,-0.001,-2.4,-0.018,0.8,-0.015,-0.125,-4,1
0.7,-4.6,0.009,0.006,0.073,0.025,0.061,4.7,1,1.7,4.2,-0.004,-0.001,0.033,0.031,-3.9,-0.041,0.021,-2.4,0.003,-2.2,-0.02,-0.4,-3.5,-3.18,0.018,0.001,2.4,0.018,-0.8,0.015,0.125,4,0
2.2,2.8,0.015,0.019,0.032,-0.052,0.004,-0.7,1.8,3.9,-3.3,-0.004,-0.012,-0.14,-0.095,4.6,0.019,0.024,-0.1,-0.012,-2.7,-0.026,3.2,-1.2,12.11,-0.02,-0.001,0.1,0.008,2.4,0.025,-0.031,-1,1
-2.2,-2.8,-0.015,-0.019,-0.032,0.052,-0.004,0.7,-1.8,-3.9,3.3,0.004,0.012,0.14,0.095,-4.6,-0.019,-0.024,0.1,0.012,2.7,0.026,-3.2,1.2,-12.11,0.02,0.001,-0.1,-0.008,-2.4,-0.025,0.031,1,0
0.7,2.4,0.016,-0.004,-0.071,-0.074,-0.077,-6.1,-9,-8,-1.8,0.014,0.028,0.045,0.019,10.6,-0.092,0.011,10.5,0.011,5.8,0.015,-0.8,1.9,-4.79,0.093,0.022,-10.5,-0.005,1.2,0.003,-0.032,0,1
-0.7,-2.4,-0.016,0.004,0.071,0.074,0.077,6.1,9,8,1.8,-0.014,-0.028,-0.045,-0.019,-10.6,0.092,-0.011,-10.5,-0.011,-5.8,-0.015,0.8,-1.9,4.79,-0.093,-0.022,10.5,0.005,-1.2,-0.003,0.032,0,0
-11.8,3,0.044,0.036,0.025,0.07,0.043,7.9,-11.5,-5,-0.4,-0.026,-0.026,-0.082,-0.051,2,-0.027,0.023,4.2,-0.026,-5.7,-0.062,3.9,-2.1,1.29,-0.013,0.061,-4.2,0.051,-3.8,0.017,0.133,3,1
11.8,-3,-0.044,-0.036,-0.025,-0.07,-0.043,-7.9,11.5,5,0.4,0.026,0.026,0.082,0.051,-2,0.027,-0.023,-4.2,0.026,5.7,0.062,-3.9,2.1,-1.29,0.013,-0.061,4.2,-0.051,3.8,-0.017,-0.133,-3,0
-1.4,0.7,-0.029,-0.007,0.03,0.034,0.037,-8.1,-9.7,13.5,2.8,0.039,0.014,0.029,0.023,-1.3,0.075,0.075,3.9,0.037,-0.3,-0.005,0.5,1.7,5.89,-0.12,-0.01,-3.9,-0.015,-0.2,-0.039,-0.276,-11,1
1.4,-0.7,0.029,0.007,-0.03,-0.034,-0.037,8.1,9.7,-13.5,-2.8,-0.039,-0.014,-0.029,-0.023,1.3,-0.075,-0.075,-3.9,-0.037,0.3,0.005,-0.5,-1.7,-5.89,0.12,0.01,3.9,0.015,0.2,0.039,0.276,11,0
9.9,-4.7,0.039,0.006,-0.025,0.096,0.017,8.1,-5,-10.3,0.7,0.009,0.019,-0.086,-0.043,-1.8,-0.058,-0.001,1.2,0.007,-0.8,0.019,-3.5,-0.9,19.29,0.146,0.037,-1.2,0.046,-1.7,0.013,0.043,2,1
-9.9,4.7,-0.039,-0.006,0.025,-0.096,-0.017,-8.1,5,10.3,-0.7,-0.009,-0.019,0.086,0.043,1.8,0.058,0.001,-1.2,-0.007,0.8,-0.019,3.5,0.9,-19.29,-0.146,-0.037,1.2,-0.046,1.7,-0.013,-0.043,-2,0
-2.3,-1.5,-0.049,-0.032,0.081,0.038,0.07,-8.4,-5.8,-0.1,1.4,0.019,0.012,-0.025,-0.04,-3.4,0.038,0.004,1.4,0.004,-0.2,0.023,-1.6,-1.5,-3.65,-0.088,-0.005,-1.4,-0.029,0,-0.06,-0.23,-10,1
2.3,1.5,0.049,0.032,-0.081,-0.038,-0.07,8.4,5.8,0.1,-1.4,-0.019,-0.012,0.025,0.04,3.4,-0.038,-0.004,-1.4,-0.004,0.2,-0.023,1.6,1.5,3.65,0.088,0.005,1.4,0.029,0,0.06,0.23,10,0
-1.8,-0.6,-0.028,-0.006,-0.053,0.041,-0.022,-3.6,-3.3,-0.1,-0.9,0.037,0.024,0.03,0.032,0.2,0.046,0.025,2.5,0.039,0.6,0.035,-0.1,0.8,10.34,-0.106,-0.015,-2.5,-0.022,-1.3,-0.031,-0.118,-5,1
1.8,0.6,0.028,0.006,0.053,-0.041,0.022,3.6,3.3,0.1,0.9,-0.037,-0.024,-0.03,-0.032,-0.2,-0.046,-0.025,-2.5,-0.039,-0.6,-0.035,0.1,-0.8,-10.34,0.106,0.015,2.5,0.022,1.3,0.031,0.118,5,0
1,-2.2,-0.018,-0.013,-0.042,0.015,-0.023,-2.8,2.6,4.7,-1.9,-0.02,-0.03,0.055,0.034,1.3,0.053,-0.001,-0.4,-0.015,3.2,-0.037,2.6,3.6,-2.75,-0.014,-0.013,0.4,-0.016,0.8,-0.017,0.079,3,1
-1,2.2,0.018,0.013,0.042,-0.015,0.023,2.8,-2.6,-4.7,1.9,0.02,0.03,-0.055,-0.034,-1.3,-0.053,0.001,0.4,0.015,-3.2,0.037,-2.6,-3.6,2.75,0.014,0.013,-0.4,0.016,-0.8,0.017,-0.079,-3,0
6.3,-4.2,-0.003,-0.024,-0.034,0.012,-0.021,-6.2,-12.9,0.8,-3.1,0,-0.002,-0.083,-0.04,-1.8,0.011,-0.002,6.1,0.001,2.5,0,-6.4,0.5,-7.4,0.15,-0.018,-6.1,-0.004,-0.5,0.002,0.112,3,1
-6.3,4.2,0.003,0.024,0.034,-0.012,0.021,6.2,12.9,-0.8,3.1,0,0.002,0.083,0.04,1.8,-0.011,0.002,-6.1,-0.001,-2.5,0,6.4,-0.5,7.4,-0.15,0.018,6.1,0.004,0.5,-0.002,-0.112,-3,0
-12.9,-8.2,0.053,0.017,-0.015,0.008,-0.008,9.8,-2.3,-11.3,-1.4,0.014,0.016,0.052,0.031,-3,-0.005,-0.007,0,0.015,0.2,0.03,2.8,-1.4,-10.77,0.156,0.053,0,0.046,-1.5,0.029,0.077,-1,1
12.9,8.2,-0.053,-0.017,0.015,-0.008,0.008,-9.8,2.3,11.3,1.4,-0.014,-0.016,-0.052,-0.031,3,0.005,0.007,0,-0.015,-0.2,-0.03,-2.8,1.4,10.77,-0.156,-0.053,0,-0.046,1.5,-0.029,-0.077,1,0
7.2,0.6,0.037,0.02,0.076,0.044,0.068,18.1,3.1,-3,-2.7,-0.028,-0.017,-0.106,-0.077,-5.8,-0.014,-0.049,-4.5,-0.034,-1,-0.003,3.9,-0.6,-3.86,0.054,0.036,4.5,0.044,-6.7,0.021,0.644,23,1
-7.2,-0.6,-0.037,-0.02,-0.076,-0.044,-0.068,-18.1,-3.1,3,2.7,0.028,0.017,0.106,0.077,5.8,0.014,0.049,4.5,0.034,1,0.003,-3.9,0.6,3.86,-0.054,-0.036,-4.5,-0.044,6.7,-0.021,-0.644,-23,0
1.5,-0.6,-0.062,-0.045,0.084,-0.048,0.047,-8.4,1.1,-4.8,0,-0.009,-0.01,-0.09,-0.06,0.4,0.02,-0.012,-0.5,-0.014,-3.6,-0.004,-3.9,-4.5,2.46,-0.016,-0.068,0.5,-0.052,0,-0.032,-0.109,-3,1
-1.5,0.6,0.062,0.045,-0.084,0.048,-0.047,8.4,-1.1,4.8,0,0.009,0.01,0.09,0.06,-0.4,-0.02,0.012,0.5,0.014,3.6,0.004,3.9,4.5,-2.46,0.016,0.068,-0.5,0.052,0,0.032,0.109,3,0
-9,4,-0.094,-0.068,0.091,-0.059,0.042,-9,7.7,9.2,-2.4,0.004,-0.012,0.002,0.008,1.4,0.109,-0.015,-1.3,0.006,-3.1,0.014,2.8,-3.1,2.67,-0.082,-0.065,1.3,-0.083,-1.1,-0.088,-0.208,-7,1
9,-4,0.094,0.068,-0.091,0.059,-0.042,9,-7.7,-9.2,2.4,-0.004,0.012,-0.002,-0.008,-1.4,-0.109,0.015,1.3,-0.006,3.1,-0.014,-2.8,3.1,-2.67,0.082,0.065,-1.3,0.083,1.1,0.088,0.208,7,0
-10.5,1.4,-0.049,-0.039,-0.079,-0.022,-0.064,-8.2,-4.2,4.1,-0.7,-0.024,-0.027,-0.129,-0.091,-3.7,0.057,-0.029,0.8,-0.032,0.4,-0.012,-12.5,2.2,0.85,-0.07,0.015,-0.8,-0.05,-2.1,-0.097,0.033,3,1
10.5,-1.4,0.049,0.039,0.079,0.022,0.064,8.2,4.2,-4.1,0.7,0.024,0.027,0.129,0.091,3.7,-0.057,0.029,-0.8,0.032,-0.4,0.012,12.5,-2.2,-0.85,0.07,-0.015,0.8,0.05,2.1,0.097,-0.033,-3,0
2.9,5.8,-0.004,-0.01,0.093,0.008,0.067,3.6,5.3,-4.5,0.8,-0.089,-0.083,0.061,0.048,-5.1,0.005,-0.042,-5.2,-0.068,5.8,-0.103,0.1,3.9,16.77,0.021,0.018,5.2,0.006,0.2,-0.019,0.348,15,1
-2.9,-5.8,0.004,0.01,-0.093,-0.008,-0.067,-3.6,-5.3,4.5,-0.8,0.089,0.083,-0.061,-0.048,5.1,-0.005,0.042,5.2,0.068,-5.8,0.103,-0.1,-3.9,-16.77,-0.021,-0.018,-5.2,-0.006,-0.2,0.019,-0.348,-15,0
-2.4,4.6,-0.03,-0.024,0.068,-0.069,0.021,-10.5,0.9,3.2,0.9,-0.067,-0.06,0.022,0.018,-0.2,-0.01,-0.025,-2.4,-0.054,-3.3,-0.085,-1.5,-1.7,7.22,-0.023,-0.011,2.4,-0.032,3.9,-0.037,-0.061,-2,1
2.4,-4.6,0.03,0.024,-0.068,0.069,-0.021,10.5,-0.9,-3.2,-0.9,0.067,0.06,-0.022,-0.018,0.2,0.01,0.025,2.4,0.054,3.3,0.085,1.5,1.7,-7.22,0.023,0.011,-2.4,0.032,-3.9,0.037,0.061,2,0
-4.4,-2.1,0.01,-0.002,0.035,0.092,0.057,6.1,-6.6,-4,-0.3,0.029,0.03,-0.041,-0.033,-0.1,-0.022,0.016,3.4,0.02,0.5,0.035,3.3,0.9,-1.57,0.039,0.033,-3.4,0.024,-4.1,-0.011,0.206,10,1
4.4,2.1,-0.01,0.002,-0.035,-0.092,-0.057,-6.1,6.6,4,0.3,-0.029,-0.03,0.041,0.033,0.1,0.022,-0.016,-3.4,-0.02,-0.5,-0.035,-3.3,-0.9,1.57,-0.039,-0.033,3.4,-0.024,4.1,0.011,-0.206,-10,0
