,winner,loser,winner_score,loser_score,year,joincol,assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,opp_two_point_field_goal_percentage,pace,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,wins,did_win
0,WISCONSIN,CENTRAL-ARKANSAS,79,47,2016,1,-3.7,2.4,0.023,0.017,-0.031,-0.074,-0.046,8.2,6.9,-17.7,1.1,-0.075,-0.052,-0.039,-0.016,-6.3,-0.104,-0.016,-5.9,-0.064,3.8,-0.091,-7.7,2.7,13.16,0.048,-0.016,5.9,0.007,-2.3,0.044,0.48,19,1
0,WISCONSIN,CENTRAL-ARKANSAS,79,47,2016,1,3.7,-2.4,-0.023,-0.017,0.031,0.074,0.046,-8.2,-6.9,17.7,-1.1,0.075,0.052,0.039,0.016,6.3,0.104,0.016,5.9,0.064,-3.8,0.091,7.7,-2.7,-13.16,-0.048,0.016,-5.9,-0.007,2.3,-0.044,-0.48,-19,0
0,ARIZONA,MICHIGAN-STATE,65,63,2016,1,-14,-3.1,-0.003,0.007,0.07,0.096,0.086,8.7,4,-0.2,-1.1,0.01,0.011,-0.061,-0.056,-1.2,0.037,-0.036,-2.5,-0.003,1.3,0.043,-0.9,1.8,-2.87,-0.075,0.017,2.5,0.017,-3.5,-0.014,0.294,12,1
0,ARIZONA,MICHIGAN-STATE,65,63,2016,1,14,3.1,0.003,-0.007,-0.07,-0.096,-0.086,-8.7,-4,0.2,1.1,-0.01,-0.011,0.061,0.056,1.2,-0.037,0.036,2.5,0.003,-1.3,-0.043,0.9,-1.8,2.87,0.075,-0.017,-2.5,-0.017,3.5,0.014,-0.294,-12,0
0,LOUISVILLE,EVANSVILLE,78,47,2016,1,-6.9,6.1,0.024,0.003,-0.107,-0.027,-0.085,9.7,9.4,-7.1,-2.7,-0.031,-0.02,-0.008,-0.01,1,-0.041,-0.023,-3.5,-0.029,0.6,-0.027,1.5,2,8.73,0.124,-0.011,3.5,0.007,-2,0.029,0.25,9,1
0,LOUISVILLE,EVANSVILLE,78,47,2016,1,6.9,-6.1,-0.024,-0.003,0.107,0.027,0.085,-9.7,-9.4,7.1,2.7,0.031,0.02,0.008,0.01,-1,0.041,0.023,3.5,0.029,-0.6,0.027,-1.5,-2,-8.73,-0.124,0.011,-3.5,-0.007,2,-0.029,-0.25,-9,0
0,GONZAGA,UTAH-VALLEY,92,69,2016,1,-8,2.6,0.056,0.067,0.012,0.009,0.012,16.3,5.6,-8.2,-0.8,-0.056,-0.05,-0.069,-0.05,1.7,-0.008,-0.027,-3.5,-0.057,-1.1,-0.063,-4.6,1.3,6.57,-0.133,0.062,3.5,0.049,-3.7,0.027,0.449,20,1
0,GONZAGA,UTAH-VALLEY,92,69,2016,1,8,-2.6,-0.056,-0.067,-0.012,-0.009,-0.012,-16.3,-5.6,8.2,0.8,0.056,0.05,0.069,0.05,-1.7,0.008,0.027,3.5,0.057,1.1,0.063,4.6,-1.3,-6.57,0.133,-0.062,-3.5,-0.049,3.7,-0.027,-0.449,-20,0
0,PURDUE,MCNEESE-STATE,109,65,2016,1,23.1,-1.4,0.078,0.058,-0.026,0.072,0.006,15.7,4.7,-3.8,0.2,-0.027,-0.028,-0.167,-0.122,-11.2,0.022,-0.017,-9.9,-0.041,-0.7,-0.029,-2.4,-0.2,12.91,0.037,0.071,9.9,0.075,-0.8,0.059,0.53,20,1
0,PURDUE,MCNEESE-STATE,109,65,2016,1,-23.1,1.4,-0.078,-0.058,0.026,-0.072,-0.006,-15.7,-4.7,3.8,-0.2,0.027,0.028,0.167,0.122,11.2,-0.022,0.017,9.9,0.041,0.7,0.029,2.4,0.2,-12.91,-0.037,-0.071,-9.9,-0.075,0.8,-0.059,-0.53,-20,0
0,UCLA,PACIFIC,119,80,2016,1,13.2,6.5,0.146,0.118,-0.078,0.063,-0.036,23.1,-1.3,-13.3,-5.8,-0.035,-0.027,-0.159,-0.114,4.2,-0.054,0.012,-1,-0.044,-1.5,-0.063,6.2,1.7,4.3,0.087,0.076,1,0.129,-1.2,0.157,0.528,20,1
0,UCLA,PACIFIC,119,80,2016,1,-13.2,-6.5,-0.146,-0.118,0.078,-0.063,0.036,-23.1,1.3,13.3,5.8,0.035,0.027,0.159,0.114,-4.2,0.054,-0.012,1,0.044,1.5,0.063,-6.2,-1.7,-4.3,-0.087,-0.076,-1,-0.129,1.2,-0.157,-0.528,-20,0
0,SAINT-MARYS-CA,NEVADA,81,63,2016,1,3.2,-2.5,0.053,0.048,-0.135,0.04,-0.084,5.6,2.7,-11.8,1.5,-0.03,-0.016,-0.016,-0.011,-4.3,-0.078,-0.01,-4.8,-0.028,-0.4,-0.039,-9.6,-0.7,0.16,0.012,0.012,4.8,0.041,1.8,0.077,0.053,1,1
0,SAINT-MARYS-CA,NEVADA,81,63,2016,1,-3.2,2.5,-0.053,-0.048,0.135,-0.04,0.084,-5.6,-2.7,11.8,-1.5,0.03,0.016,0.016,0.011,4.3,0.078,0.01,4.8,0.028,0.4,0.039,9.6,0.7,-0.16,-0.012,-0.012,-4.8,-0.041,-1.8,-0.077,-0.053,-1,0
0,WAGNER,CONNECTICUT,67,58,2016,1,-10.7,-5,-0.011,-0.002,0.007,-0.021,-0.003,1.6,10.5,-0.8,-1.4,0.01,0.016,0.068,0.044,0.2,-0.04,0.002,-4.1,0.013,2.2,0.017,-0.4,0.7,-14.5,-0.022,-0.023,4.1,-0.012,1.6,0.004,0.048,0,1
0,WAGNER,CONNECTICUT,67,58,2016,1,10.7,5,0.011,0.002,-0.007,0.021,0.003,-1.6,-10.5,0.8,1.4,-0.01,-0.016,-0.068,-0.044,-0.2,0.04,-0.002,4.1,-0.013,-2.2,-0.017,0.4,-0.7,14.5,0.022,0.023,-4.1,0.012,-1.6,-0.004,-0.048,0,0
0,SYRACUSE,COLGATE,83,55,2016,1,3.9,6.1,0.015,0.018,0.016,0.062,0.032,12.6,6.5,13.5,-2.7,-0.02,-0.022,-0.09,-0.072,9.1,0.04,-0.032,0.4,-0.029,0.9,-0.004,1.5,4.2,12.07,-0.026,0.009,-0.4,0.023,-3.8,0.02,0.246,9,1
0,SYRACUSE,COLGATE,83,55,2016,1,-3.9,-6.1,-0.015,-0.018,-0.016,-0.062,-0.032,-12.6,-6.5,-13.5,2.7,0.02,0.022,0.09,0.072,-9.1,-0.04,0.032,-0.4,0.029,-0.9,0.004,-1.5,-4.2,-12.07,0.026,-0.009,0.4,-0.023,3.8,-0.02,-0.246,-9,0
0,WEST-VIRGINIA,MOUNT-ST-MARYS,87,59,2016,1,11.3,4.6,0.003,0.01,0.065,0.012,0.048,13.1,14.7,9.6,1.1,-0.011,-0.029,0.099,0.075,-3.1,0.089,0.012,-7.6,0.002,5.5,-0.03,3,4.8,13.18,-0.044,0.004,7.6,0.009,-3,0.004,0.201,8,1
0,WEST-VIRGINIA,MOUNT-ST-MARYS,87,59,2016,1,-11.3,-4.6,-0.003,-0.01,-0.065,-0.012,-0.048,-13.1,-14.7,-9.6,-1.1,0.011,0.029,-0.099,-0.075,3.1,-0.089,-0.012,7.6,-0.002,-5.5,0.03,-3,-4.8,-13.18,0.044,-0.004,-7.6,-0.009,3,-0.004,-0.201,-8,0
0,TEXAS,INCARNATE-WORD,78,73,2016,1,-2.8,1.4,-0.039,-0.016,-0.107,-0.044,-0.09,-5.7,5.8,0.9,-2,-0.026,-0.037,-0.08,-0.061,-1,0.075,-0.013,-3.2,-0.031,1.2,-0.029,-4.8,0.5,18.37,-0.037,-0.096,3.2,-0.048,0.5,0.018,-0.081,-1,1
0,TEXAS,INCARNATE-WORD,78,73,2016,1,2.8,-1.4,0.039,0.016,0.107,0.044,0.09,5.7,-5.8,-0.9,2,0.026,0.037,0.08,0.061,1,-0.075,0.013,3.2,0.031,-1.2,0.029,4.8,-0.5,-18.37,0.037,0.096,-3.2,0.048,-0.5,-0.018,0.081,1,0
0,CREIGHTON,MISSOURI-KANSAS-CITY,89,82,2016,1,6,0.6,0.061,0.065,-0.097,-0.031,-0.078,9.4,-2.7,-3.4,-0.4,-0.021,-0.02,-0.132,-0.086,-2.2,0.003,-0.009,-1.4,-0.027,-0.5,-0.025,-1.6,-0.6,10.01,-0.05,0.026,1.4,0.042,-2.1,0.08,0.2,7,1
0,CREIGHTON,MISSOURI-KANSAS-CITY,89,82,2016,1,-6,-0.6,-0.061,-0.065,0.097,0.031,0.078,-9.4,2.7,3.4,0.4,0.021,0.02,0.132,0.086,2.2,-0.003,0.009,1.4,0.027,0.5,0.025,1.6,0.6,-10.01,0.05,-0.026,-1.4,-0.042,2.1,-0.08,-0.2,-7,0
0,RHODE-ISLAND,DARTMOUTH,84,61,2016,1,3.3,11,0.008,0.023,0.054,-0.041,0.022,10.9,5.2,2.5,-6.5,-0.081,-0.064,0.144,0.101,2.6,-0.057,-0.056,-1.3,-0.057,2.8,-0.082,-0.8,2.9,8.07,-0.063,-0.02,1.3,0.004,-5.1,0.031,0.455,18,1
0,RHODE-ISLAND,DARTMOUTH,84,61,2016,1,-3.3,-11,-0.008,-0.023,-0.054,0.041,-0.022,-10.9,-5.2,-2.5,6.5,0.081,0.064,-0.144,-0.101,-2.6,0.057,0.056,1.3,0.057,-2.8,0.082,0.8,-2.9,-8.07,0.063,0.02,-1.3,-0.004,5.1,-0.031,-0.455,-18,0
0,IOWA-STATE,SAVANNAH-STATE,113,71,2016,1,-6.5,1,0.043,0.062,-0.049,0.052,-0.016,10.1,-1.7,-9,-6.5,-0.034,-0.024,-0.052,-0.026,-4.4,-0.077,0.014,-2.4,-0.03,0.8,-0.071,-12.7,1.5,20.38,-0.189,0.068,2.4,0.042,-2.9,-0.002,0.238,11,1
0,IOWA-STATE,SAVANNAH-STATE,113,71,2016,1,6.5,-1,-0.043,-0.062,0.049,-0.052,0.016,-10.1,1.7,9,6.5,0.034,0.024,0.052,0.026,4.4,0.077,-0.014,2.4,0.03,-0.8,0.071,12.7,-1.5,-20.38,0.189,-0.068,-2.4,-0.042,2.9,0.002,-0.238,-11,0
0,MARYLAND,AMERICAN,62,56,2016,1,8.1,5,0.02,0,0.091,0.081,0.088,14.1,9.4,-7.3,2.6,-0.054,-0.053,-0.087,-0.061,3.8,0.022,-0.03,-3.7,-0.053,-1.9,-0.059,2.9,-2.6,11.79,0.068,0.041,3.7,0.035,-2,-0.005,0.46,16,1
0,MARYLAND,AMERICAN,62,56,2016,1,-8.1,-5,-0.02,0,-0.091,-0.081,-0.088,-14.1,-9.4,7.3,-2.6,0.054,0.053,0.087,0.061,-3.8,-0.022,0.03,3.7,0.053,1.9,0.059,-2.9,2.6,-11.79,-0.068,-0.041,-3.7,-0.035,2,0.005,-0.46,-16,0
0,MISSOURI-STATE,ALABAMA-AM,96,62,2016,1,-3.8,6.3,0.067,0.037,-0.052,0.032,-0.024,14.2,3.2,4.5,-1.6,-0.043,-0.042,-0.014,0.014,-12.4,0.015,-0.023,-7.8,-0.028,3,-0.048,1,2.7,12.27,0.104,0.083,7.8,0.058,-1.7,0.037,0.446,15,1
0,MISSOURI-STATE,ALABAMA-AM,96,62,2016,1,3.8,-6.3,-0.067,-0.037,0.052,-0.032,0.024,-14.2,-3.2,-4.5,1.6,0.043,0.042,0.014,-0.014,12.4,-0.015,0.023,7.8,0.028,-3,0.048,-1,-2.7,-12.27,-0.104,-0.083,-7.8,-0.058,1.7,-0.037,-0.446,-15,0
0,ALBANY-NY,PENN-STATE,87,81,2016,1,-5.4,-8.4,0.044,0.052,0.004,0.012,0.007,10.7,7.1,3.3,-0.1,0.013,0.001,-0.003,-0.004,-7.7,0.092,-0.022,-7.9,0.011,-2,0.035,-6.2,-1.5,-13.59,-0.075,0.033,7.9,0.04,-0.2,0.048,0.145,6,1
0,ALBANY-NY,PENN-STATE,87,81,2016,1,5.4,8.4,-0.044,-0.052,-0.004,-0.012,-0.007,-10.7,-7.1,-3.3,0.1,-0.013,-0.001,0.003,0.004,7.7,-0.092,0.022,7.9,-0.011,2,-0.035,6.2,1.5,13.59,0.075,-0.033,-7.9,-0.04,0.2,-0.048,-0.145,-6,0
0,LOYOLA-IL,ALCORN-STATE,69,44,2016,1,2.5,-2.5,0.072,0.057,-0.018,0.057,0.005,8,-10.4,-6.2,2.7,0.041,0.028,-0.062,-0.02,-5,0.017,0.058,2.2,0.04,2.9,0.018,-2.3,0.6,11.97,0.02,0.057,-2.2,0.069,-1.5,0.062,0,0,1
