,team1,team2,p_winner,p_perc,p_spread,p_total,CORRECT,INCORRECT
71,KANSAS,EASTERN-WASHINGTON,KANSAS,0.8225374746551897,5,136,,
72,OREGON,VIRGINIA-COMMONWEALTH,OREGON,0.7048141153607921,5,136,,
73,IOWA,GRAND-CANYON,IOWA,0.8776862295043161,5,136,,
74,LOUISIANA-STATE,ST-BONAVENTURE,LOUISIANA-STATE,0.563239514505912,5,136,,
75,COLORADO,GEORGETOWN,COLORADO,0.7447037947639872,5,136,,
76,FLORIDA-STATE,NORTH-CAROLINA-GREENSBORO,FLORIDA-STATE,0.9005307029663343,5,136,,
77,BRIGHAM-YOUNG,MICHIGAN-STATE,BRIGHAM-YOUNG,0.6710251770078712,5,136,,
78,BRIGHAM-YOUNG,UCLA,BRIGHAM-YOUNG,0.5425281582891409,5,136,,
79,MICHIGAN-STATE,UCLA,UCLA,0.6314751010032907,-5,136,,
80,TEXAS,ABILENE-CHRISTIAN,TEXAS,0.7771196298536245,5,136,,
81,CONNECTICUT,MARYLAND,CONNECTICUT,0.7198382348224377,5,136,,
82,ALABAMA,IONA,ALABAMA,0.8689822967382502,5,136,,
83,BAYLOR,HARTFORD,BAYLOR,0.9899907160364816,5,136,,
84,NORTH-CAROLINA,WISCONSIN,NORTH-CAROLINA,0.680208069141534,5,136,,
85,VILLANOVA,WINTHROP,VILLANOVA,0.8223711783321948,5,136,,
86,PURDUE,NORTH-TEXAS,PURDUE,0.7332107696837912,5,136,,
87,TEXAS-TECH,UTAH-STATE,TEXAS-TECH,0.6238234104535777,-5,136,,
88,ARKANSAS,COLGATE,COLGATE,0.6657232022866266,-5,136,,
89,FLORIDA,VIRGINIA-TECH,VIRGINIA-TECH,0.5955914209410139,-5,136,,
90,OHIO-STATE,ORAL-ROBERTS,OHIO-STATE,0.8917963401490412,5,136,,
91,ILLINOIS,DREXEL,ILLINOIS,0.919228591825654,5,136,,
92,LOYOLA-IL,GEORGIA-TECH,LOYOLA-IL,0.5778847801621552,5,136,,
93,TENNESSEE,OREGON-STATE,TENNESSEE,0.6621308706956704,5,136,,
94,OKLAHOMA-STATE,LIBERTY,LIBERTY,0.5821178694108355,-5,136,,
95,SAN-DIEGO-STATE,SYRACUSE,SAN-DIEGO-STATE,0.5287290716596219,5,136,,
96,WEST-VIRGINIA,MOREHEAD-STATE,WEST-VIRGINIA,0.8891467881904906,5,136,,
97,CLEMSON,RUTGERS,RUTGERS,0.5887903045630283,-5,136,,
98,HOUSTON,CLEVELAND-STATE,HOUSTON,0.9746192646853016,5,136,,
99,GONZAGA,OKLAHOMA,GONZAGA,0.8928641568973809,5,136,,
100,CREIGHTON,VIRGINIA,VIRGINIA,0.627539755661084,-5,136,,
101,SOUTHERN-CALIFORNIA,KANSAS,SOUTHERN-CALIFORNIA,0.5466995027292962,5,136,,
102,OREGON,IOWA,IOWA,0.8296269590233709,-5,136,,
103,BAYLOR,WISCONSIN,BAYLOR,0.8591689316879839,5,136,,
104,VILLANOVA,PURDUE,VILLANOVA,0.6542082193878759,5,136,,
105,TEXAS-TECH,ARKANSAS,TEXAS-TECH,0.5124882948742993,-5,136,,
106,VIRGINIA-TECH,OHIO-STATE,OHIO-STATE,0.6902879044595823,-5,136,,
107,MICHIGAN,LOUISIANA-STATE,MICHIGAN,0.7829250091762616,5,136,,
108,GEORGETOWN,FLORIDA-STATE,FLORIDA-STATE,0.8263445769377787,-5,136,,
109,BRIGHAM-YOUNG,TEXAS,BRIGHAM-YOUNG,0.5086054509457719,5,136,,
110,MARYLAND,ALABAMA,ALABAMA,0.5841530115560348,-5,136,,
111,ILLINOIS,GEORGIA-TECH,ILLINOIS,0.8334007043625189,5,136,,
112,TENNESSEE,OKLAHOMA-STATE,TENNESSEE,0.7037162353587187,5,136,,
113,SAN-DIEGO-STATE,WEST-VIRGINIA,WEST-VIRGINIA,0.6159216098169867,-5,136,,
114,RUTGERS,HOUSTON,HOUSTON,0.865205913453887,-5,136,,
115,GONZAGA,CREIGHTON,GONZAGA,0.8515834001523045,5,136,,
116,KANSAS,IOWA,IOWA,0.8060332062353559,-5,136,,
117,BAYLOR,PURDUE,BAYLOR,0.8055093229811507,5,136,,
118,TEXAS-TECH,OHIO-STATE,OHIO-STATE,0.6160288524591072,-5,136,,
119,MICHIGAN,FLORIDA-STATE,MICHIGAN,0.6415462021774794,5,136,,
120,TEXAS,ALABAMA,TEXAS,0.548165362618854,5,136,,
121,ILLINOIS,TENNESSEE,ILLINOIS,0.7486014307725634,5,136,,
122,WEST-VIRGINIA,HOUSTON,HOUSTON,0.7634481691200532,-5,136,,
123,GONZAGA,IOWA,GONZAGA,0.5795530412549333,5,136,,
124,BAYLOR,TEXAS-TECH,BAYLOR,0.7792924252405133,5,136,,
125,MICHIGAN,TEXAS,MICHIGAN,0.7595646560178145,5,136,,
126,ILLINOIS,HOUSTON,ILLINOIS,0.5163978201391792,-5,136,,
127,IOWA,MICHIGAN,IOWA,0.5358432261976566,5,136,,
128,BAYLOR,ILLINOIS,BAYLOR,0.5354285637855163,5,136,,
129,IOWA,BAYLOR,BAYLOR,0.5275333187618303,-5,136,,
130,ALABAMA,CONNECTICUT,CONNECTICUT,0.6446210576741469,-5,136,,
131,TEXAS-TECH,COLGATE,COLGATE,0.6568579676519486,-5,136,,
132,TENNESSEE,LIBERTY,TENNESSEE,0.6316051745120063,-5,136,,
133,GONZAGA,VIRGINIA,GONZAGA,0.769544404152585,5,136,,
134,SOUTHERN-CALIFORNIA,IOWA,IOWA,0.7734159273609246,-5,136,,
135,BAYLOR,VILLANOVA,BAYLOR,0.6860826064630715,5,136,,
136,TEXAS-TECH,OHIO-STATE,OHIO-STATE,0.6145277302913759,-5,136,,
137,BRIGHAM-YOUNG,CONNECTICUT,CONNECTICUT,0.5917092817610862,-5,136,,
138,FLORIDA-STATE,COLORADO,FLORIDA-STATE,0.6232682793265389,5,136,,
139,BAYLOR,OHIO-STATE,BAYLOR,0.6858278797445877,5,136,,
140,MICHIGAN,FLORIDA-STATE,MICHIGAN,0.6401118479358029,5,136,,
141,MICHIGAN,CONNECTICUT,MICHIGAN,0.677091444397011,5,136,,
142,MICHIGAN,GONZAGA,GONZAGA,0.614325364199528,-5,136,,
143,BAYLOR,ILLINOIS,BAYLOR,0.5367047764746651,5,136,,
0,GONZAGA,BAYLOR,GONZAGA,0.5542606623708691,5,136,,
